ICDNames,ICDCode
Subsequent myocardial infarction,BA42
"Subsequent myocardial infarction, STEMI",BA42.0
"Subsequent myocardial infarction, NSTEMI",BA42.1
"Subsequent myocardial infarction, unspecified",BA42.Z
Coronary thrombosis not resulting in myocardial infarction,BA43
"Acute ischaemic heart disease, unspecified",BA4Z
Old myocardial infarction,BA50
Ischaemic cardiomyopathy,BA51
Dilated cardiomyopathy due to congenital anomaly of coronary artery,BA51.0
Other specified ischaemic cardiomyopathy,BA51.Y
"Ischaemic cardiomyopathy, unspecified",BA51.Z
Coronary atherosclerosis,BA52
Coronary atherosclerosis of native coronary artery,BA52.0
Coronary atherosclerosis of autologous bypass graft,BA52.1
Coronary atherosclerosis of non-autologous bypass graft,BA52.2
"Coronary atherosclerosis, unspecified site",BA52.Z
Other specified chronic ischaemic heart disease,BA5Y
"Chronic ischaemic heart disease, unspecified",BA5Z
Certain current complications following acute myocardial infarction,BA60
Dressler syndrome,BA60.0
Other pericarditis as current complication following acute myocardial infarction,BA60.1
Ventricular aneurysm as current complication following acute myocardial infarction,BA60.2
Ventricular septal defect as current complication following acute myocardial infarction,BA60.3
Cardiac rupture as current complication following acute myocardial infarction,BA60.4
Pulmonary embolism as current complication following acute myocardial infarction,BA60.5
Rupture of papillary muscle or chordae tendineae as current complication following acute myocardial infarction,BA60.6
Mural thrombus as current complication following acute myocardial infarction,BA60.7
Arrhythmia as current complication following acute myocardial infarction,BA60.8
"Cardiogenic shock, unrelated to mechanical complications, as current complication following acute myocardial infarction",BA60.9
Other specified current complications following acute myocardial infarction,BA60.Y
"Certain current complications following acute myocardial infarction, unspecified",BA60.Z
"Ischaemic heart diseases, unspecified",BA6Z
Coronary artery aneurysm,BA81
Coronary artery aneurysm with perforation,BA81.0
Coronary artery aneurysm with rupture,BA81.1
Coronary artery aneurysm without mention of perforation or rupture,BA81.2
Coronary artery dissection,BA82
"Coronary artery fistula, acquired",BA83
Chronic total occlusion of coronary artery,BA84
Coronary vasospastic disease,BA85
Silent coronary vasospastic disease,BA85.0
Other specified coronary vasospastic disease,BA85.Y
"Coronary vasospastic disease, unspecified",BA85.Z
Coronary microvascular disease,BA86
Other specified diseases of coronary artery,BA8Y
"Diseases of coronary artery, unspecified",BA8Z
Pulmonary thromboembolism,BB00
Acute pulmonary thromboembolism,BB00.0
Chronic pulmonary thromboembolism,BB00.1
"Pulmonary thromboembolism, unspecified",BB00.Z
Pulmonary hypertension,BB01
Pulmonary arterial hypertension,BB01.0
Pulmonary hypertension due to left heart disease,BB01.1
Pulmonary hypertension due to lung disease or hypoxia,BB01.2
Chronic thromboembolic pulmonary hypertension,BB01.3
Pulmonary hypertension with multifactorial mechanism,BB01.4
Cor pulmonale,BB01.5
"Pulmonary hypertension, unspecified",BB01.Z
Certain specified diseases of pulmonary vessels,BB02
Arteriovenous fistula of pulmonary vessels,BB02.0
Aneurysm of pulmonary artery,BB02.1
Rupture of pulmonary vessels,BB02.2
Acquired pulmonary arterial tree abnormality,BB02.3
Acquired pulmonary venous abnormality,BB03
Acquired pulmonary venous obstruction,BB03.0
Other specified acquired pulmonary venous abnormality,BB03.Y
"Acquired pulmonary venous abnormality, unspecified",BB03.Z
Other specified pulmonary heart disease or diseases of pulmonary circulation,BB0Y
"Pulmonary heart disease or diseases of pulmonary circulation, unspecified",BB0Z
Acute pericarditis,BB20
Infectious pericarditis,BB20.0
Neoplastic pericarditis,BB20.1
Myopericarditis,BB20.2
Other specified acute pericarditis,BB20.Y
"Acute pericarditis, unspecified",BB20.Z
Chronic rheumatic pericarditis,BB21
Constrictive pericarditis,BB22
Cardiac tamponade,BB23
Haemopericardium,BB24
Pericardial effusion,BB25
Other specified pericarditis,BB2Y
"Pericarditis, unspecified",BB2Z
Acute or subacute infectious endocarditis,BB40
Myoendocarditis,BB41
Periendocarditis,BB42
Other specified acute or subacute endocarditis,BB4Y
"Acute or subacute endocarditis, unspecified",BB4Z
Mitral valve stenosis,BB60
Rheumatic mitral valve stenosis,BB60.0
Nonrheumatic mitral valve stenosis,BB60.1
"Mitral valve stenosis, unspecified",BB60.Z
Mitral valve insufficiency,BB61
Rheumatic mitral valve insufficiency,BB61.0
Other specified mitral valve insufficiency,BB61.Y
"Mitral valve insufficiency, unspecified",BB61.Z
Mitral valve prolapse,BB62
Rheumatic mitral valve prolapse,BB62.0
Degenerative mitral valve prolapse,BB62.1
Other specified nonrheumatic mitral valve prolapse,BB62.Y
"Mitral valve prolapse, unspecified",BB62.Z
Mitral valve stenosis with insufficiency,BB63
Rheumatic mitral stenosis with insufficiency,BB63.0
Nonrheumatic mitral stenosis with insufficiency,BB63.1
"Mitral valve stenosis with insufficiency, unspecified",BB63.Z
Mitral valvar abscess,BB64
Mitral valve rupture,BB65
Other specified mitral valve disease,BB6Y
"Mitral valve disease, unspecified",BB6Z
Aortic valve stenosis,BB70
Rheumatic aortic valve stenosis,BB70.0
Nonrheumatic aortic valve stenosis,BB70.1
Other specified aortic valve stenosis,BB70.Y
"Aortic valve stenosis, unspecified",BB70.Z
Aortic valve insufficiency,BB71
Rheumatic aortic valve insufficiency,BB71.0
Other specified nonrheumatic aortic valve insufficiency,BB71.Y
"Aortic valve insufficiency, unspecified",BB71.Z
Aortic valve stenosis with insufficiency,BB72
Rheumatic aortic stenosis with insufficiency,BB72.0
Nonrheumatic aortic valve stenosis with insufficiency,BB72.1
"Aortic valve stenosis with insufficiency, unspecified",BB72.Z
Aortic valvar abscess,BB73
Aortic valvar prolapse,BB74
Other specified aortic valve disease,BB7Y
"Aortic valve disease, unspecified",BB7Z
Tricuspid valve stenosis,BB80
Rheumatic tricuspid valve stenosis,BB80.0
Other specified nonrheumatic tricuspid valve stenosis,BB80.Y
"Tricuspid valve stenosis, unspecified",BB80.Z
Tricuspid valve insufficiency,BB81
Rheumatic tricuspid valve insufficiency,BB81.0
Other specified nonrheumatic tricuspid valve insufficiency,BB81.Y
"Tricuspid valve insufficiency, unspecified",BB81.Z
Tricuspid valve stenosis with insufficiency,BB82
Rheumatic tricuspid valve stenosis with insufficiency,BB82.0
Other specified nonrheumatic tricuspid valve stenosis with insufficiency,BB82.Y
"Tricuspid valve stenosis with insufficiency, unspecified",BB82.Z
Tricuspid valvular abscess,BB83
Tricuspid valve rupture,BB84
Other specified tricuspid valve disease,BB8Y
"Tricuspid valve disease, unspecified",BB8Z
Pulmonary valve stenosis,BB90
Rheumatic pulmonary valve stenosis,BB90.0
Other specified nonrheumatic pulmonary valve stenosis,BB90.Y
"Pulmonary valve stenosis, unspecified",BB90.Z
Pulmonary valve insufficiency,BB91
Rheumatic pulmonary valve insufficiency,BB91.0
Other specified nonrheumatic pulmonary valve insufficiency,BB91.Y
"Pulmonary valve insufficiency, unspecified",BB91.Z
Pulmonary valve stenosis with insufficiency,BB92
Rheumatic pulmonary valve stenosis with insufficiency,BB92.0
Nonrheumatic pulmonary valve stenosis with insufficiency,BB92.1
"Pulmonary valve stenosis with insufficiency, unspecified",BB92.Z
Pulmonary valvar abscess,BB93
Other specified pulmonary valve disease,BB9Y
"Pulmonary valve disease, unspecified",BB9Z
Multiple valve disease,BC00
Prosthetic valve disease,BC01
Acquired abnormality of congenitally malformed valve,BC02
Acquired common atrioventricular valvar abnormality in biventricular connections,BC02.0
Acquired truncal valvar abnormality,BC02.1
Acquired common atrioventricular valvar abnormality in double inlet ventricle,BC02.2
Acquired abnormality of neoaortic valve of pulmonary origin,BC02.3
Acquired abnormality of the neoaortic valve of truncal origin,BC02.4
Other specified acquired abnormality of congenitally malformed valve,BC02.Y
"Acquired abnormality of congenitally malformed valve, unspecified",BC02.Z
"Heart valve diseases, unspecified",BC0Z
"Chronic rheumatic heart diseases, not elsewhere classified",BC20
"Rheumatic diseases of endocardium, valve unspecified",BC20.0
"Rheumatic heart disease, unspecified",BC20.1
Other specified chronic rheumatic heart disease,BC20.Y
"Chronic rheumatic heart disease, unspecified",BC20.Z
Acquired atrial abnormality,BC40
Acquired interatrial communication,BC40.0
Other specified acquired atrial abnormality,BC40.Y
"Acquired atrial abnormality, unspecified",BC40.Z
Acquired ventricular abnormality,BC41
Acquired interventricular communication,BC41.0
Other specified acquired ventricular abnormality,BC41.Y
"Acquired ventricular abnormality, unspecified",BC41.Z
Myocarditis,BC42
Giant cell myocarditis,BC42.0
Infectious myocarditis,BC42.1
Hypersensitivity myocarditis,BC42.2
Rheumatic myocarditis,BC42.3
Other specific myocarditis,BC42.Y
"Myocarditis, unspecified",BC42.Z
Cardiomyopathy,BC43
Dilated cardiomyopathy,BC43.0
Hypertrophic cardiomyopathy,BC43.1
Restrictive cardiomyopathy,BC43.2
Endocardial fibroelastosis,BC43.3
Cardiomyopathy due to drugs or other external agents,BC43.4
Stress-induced cardiomyopathy,BC43.5
Arrhythmogenic ventricular cardiomyopathy,BC43.6
Diabetic cardiomyopathy,BC43.7
Other specified cardiomyopathy,BC43.Y
"Cardiomyopathy, unspecified",BC43.Z
Noncompaction cardiomyopathy,BC44
Cardiomegaly,BC45
Intracardiac thrombosis,BC46
Other specified diseases of the myocardium or cardiac chambers,BC4Y
"Diseases of the myocardium or cardiac chambers, unspecified",BC4Z
Atrial premature depolarization,BC60
Junctional premature depolarization,BC61
Accessory pathway,BC62
Conduction disorders,BC63
"Atrioventricular block, first degree",BC63.0
"Atrioventricular block, second degree",BC63.1
Complete atrioventricular block,BC63.2
Right bundle branch block,BC63.3
Left bundle branch block,BC63.4
Nonspecific intraventricular conduction delay,BC63.5
Other specified conduction disorders,BC63.Y
"Conduction disorders, unspecified",BC63.Z
Sudden arrhythmic death syndrome,BC64
Cardiac arrhythmia associated with genetic disorder,BC65
Long QT syndrome,BC65.0
Brugada syndrome,BC65.1
Short QT syndrome,BC65.2
Early repolarisation syndrome,BC65.3
Idiopathic ventricular fibrillation,BC65.4
Catecholaminergic polymorphic ventricular tachycardia,BC65.5
Other specified cardiac arrhythmia associated with genetic disorder,BC65.Y
"Cardiac arrhythmia associated with genetic disorder, unspecified",BC65.Z
Ventricular premature depolarization,BC70
Ventricular tachyarrhythmia,BC71
Ventricular tachycardia,BC71.0
Ventricular fibrillation,BC71.1
Re-entry ventricular arrhythmia,BC71.2
Other specified ventricular tachyarrhythmia,BC71.Y
"Ventricular tachyarrhythmia, unspecified",BC71.Z
Other specified ventricular rhythm disturbance,BC7Y
"Ventricular rhythm disturbance, unspecified",BC7Z
Supraventricular bradyarrhythmia,BC80
Sinus pause,BC80.0
Sinus bradycardia,BC80.1
Sinus node dysfunction,BC80.2
Other specified supraventricular bradyarrhythmia,BC80.Y
"Supraventricular bradyarrhythmia, unspecified",BC80.Z
Supraventricular tachyarrhythmia,BC81
Ectopic atrial tachycardia,BC81.0
Junctional ectopic tachycardia,BC81.1
Macro reentrant atrial tachycardia,BC81.2
Atrial fibrillation,BC81.3
Wolff-Parkinson-White syndrome,BC81.4
Sinus node reentrant tachycardia,BC81.5
Inappropriate sinus tachycardia,BC81.6
Atrioventricular reciprocating tachycardia,BC81.7
Atrioventricular nodal reentry tachycardia,BC81.8
Other specified supraventricular tachyarrhythmia,BC81.Y
"Supraventricular tachyarrhythmia, unspecified",BC81.Z
Other specified supraventricular rhythm disturbance,BC8Y
"Supraventricular rhythm disturbance, unspecified",BC8Z
Rhythm disturbance at level of atrioventricular junction,BC90
Pacemaker or implantable cardioverter defibrillator battery at end of battery life,BC91
Other specified cardiac arrhythmia,BC9Y
"Cardiac arrhythmia, unspecified",BC9Z
Congestive heart failure,BD10
Left ventricular failure,BD11
Left ventricular failure with preserved ejection fraction,BD11.0
Left ventricular failure with mid range ejection fraction,BD11.1
Left ventricular failure with reduced ejection fraction,BD11.2
"Left ventricular failure, unspecified",BD11.Z
High output syndromes,BD12
Right ventricular failure,BD13
Biventricular failure,BD14
Other specified heart failure,BD1Y
"Heart failure, unspecified",BD1Z
Acute arterial occlusion,BD30
Acute upper limb arterial occlusion,BD30.0
Acute aortoiliac occlusion,BD30.1
Acute lower limb arterial occlusion,BD30.2
Other specified acute arterial occlusion,BD30.Y
"Acute arterial occlusion, unspecified",BD30.Z
Atherosclerotic chronic arterial occlusive disease,BD40
Lower limb atherosclerosis,BD40.0
Atherosclerosis of aorta,BD40.1
Atherosclerosis of renal artery,BD40.2
Aortic bifurcation syndrome,BD40.3
Other specified atherosclerotic chronic arterial occlusive disease,BD40.Y
"Atherosclerotic chronic arterial occlusive disease, unspecified",BD40.Z
Non-atherosclerotic chronic arterial occlusive disease,BD41
Arterial fibromuscular dysplasia,BD41.0
Other specified non-atherosclerotic chronic arterial occlusive disease,BD41.Y
"Non-atherosclerotic chronic arterial occlusive disease, unspecified",BD41.Z
Raynaud phenomenon,BD42
Primary Raynaud disease,BD42.0
Secondary Raynaud phenomenon,BD42.1
"Raynaud phenomenon, unspecified",BD42.Z
Other specified chronic arterial occlusive disease,BD4Y
"Chronic arterial occlusive disease, unspecified",BD4Z
Aortic aneurysm or dissection,BD50
"Thoracic aortic dissection, ascending aorta dissection and propagation beyond arch",BD50.0
Ascending aorta dissection not beyond arch,BD50.1
Descending aorta dissection and distal propagation,BD50.2
Thoracic aortic aneurysm,BD50.3
Abdominal aortic aneurysm,BD50.4
Thoracoabdominal aortic aneurysm,BD50.5
"Aortic aneurysm or dissection, unspecified",BD50.Z
"Arterial aneurysm or dissection, excluding aorta",BD51
Aneurysm or dissection of carotid artery,BD51.0
Aneurysm or dissection of vertebral artery,BD51.1
Aneurysm or dissection of other precerebral arteries,BD51.2
Aneurysm or dissection of artery of upper extremity,BD51.3
Aneurysm or dissection of renal artery,BD51.4
Aneurysm or dissection of iliac artery,BD51.5
Aneurysm or dissection of artery of lower extremity,BD51.6
"Aneurysm and dissection of other artery, excluding aorta",BD51.Y
Aneurysm and dissection of unspecified artery,BD51.Z
Certain specified disorders of arteries or arterioles,BD52
Segmental arterial mediolysis,BD52.0
"Arteriovenous fistula, acquired",BD52.1
Stricture of artery,BD52.2
Rupture of artery,BD52.3
Necrosis of artery,BD52.4
Coeliac artery compression syndrome,BD52.5
Congenital great vessel related acquired abnormality,BD52.6
Certain acquired abnormalities of aorta,BD52.7
Other specified disorders of arteries or arterioles,BD52.Y
Secondary disorders of arteries and arterioles,BD53
Arterial cystic medial diseases,BD53.0
Hypothenar hammer syndrome,BD53.1
Iliac artery arteriopathy,BD53.2
Popliteal entrapment syndrome,BD53.3
Cholesterol atheroembolism,BD53.4
Other specified secondary disorders of arteries and arterioles,BD53.Y
"Secondary disorders of arteries and arterioles, unspecified",BD53.Z
Diabetic foot ulcer,BD54
Asymptomatic stenosis of intracranial or extracranial artery,BD55
Asymptomatic occlusion of intracranial or extracranial artery,BD56
Other specified diseases of arteries or arterioles,BD5Y
"Diseases of arteries or arterioles, unspecified",BD5Z
Superficial thrombophlebitis,BD70
Superficial thrombophlebitis of lower limbs,BD70.0
Superficial thrombophlebitis of upper limbs,BD70.1
Thrombophlebitis migrans,BD70.2
Mondor disease,BD70.3
Other specified superficial thrombophlebitis,BD70.Y
"Superficial thrombophlebitis, unspecified",BD70.Z
Deep vein thrombosis,BD71
Upper limb deep vein thrombosis,BD71.0
Vena caval thrombosis,BD71.1
Renal vein thrombosis,BD71.2
Iliac vein thrombosis,BD71.3
Lower limb deep vein thrombosis,BD71.4
Other specified deep vein thrombosis,BD71.Y
Venous thromboembolism,BD72
Acquired systemic vein abnormality,BD73
Acquired inferior caval vein abnormality,BD73.0
Acquired superior caval vein abnormality,BD73.1
Systemic vein obstruction,BD73.2
Acquired coronary sinus abnormality,BD73.3
Other specified acquired systemic vein abnormality,BD73.Y
"Acquired systemic vein abnormality, unspecified",BD73.Z
